x,y,cluster,squad
0.10237784330303915,-0.15543532070679728,0,Ajax
-0.02279112459645835,0.3769329443566957,0,Atalanta
-0.10386456459515017,0.27194421817584385,0,Atletico Madrid
1.606259530867615,0.01985165321553756,1,Barcelona
-0.5425416501318174,0.1521235101922272,3,Basaksehir
0.877875916449959,0.02050501153334548,4,Bayern Munich
0.44151953052858023,-0.17327905258918747,4,Chelsea
-0.001375875559558219,0.05755678913392556,0,Club Brugge
0.4137730969762474,0.0008987619538398016,4,Dortmund
-0.592876711283746,-0.393685670425635,2,DynamoKyiv
-0.5038067587438189,-0.5928411833503561,2,Ferencvaros
0.16213685950693812,0.10119209083754599,0,Inter
0.7830511981870905,0.14549538450369578,4,Juventus
-0.8271116940116768,0.5501003898176908,3,Krasondar
-0.22231392019056093,-0.044646793493044214,0,Lazio
0.3196612658438065,0.029382425135523534,0,Liverpool
-1.1365321673089182,0.042267994132290994,3,Loko Moscow
-0.4079069828233615,-0.19524529048694667,2,Monchen Gladbach
1.4611071410321044,0.030771957321041134,1,Manchester City
0.20153756070987427,0.28622615840144006,0,Manchester Utd
-0.42849183952841413,-0.5167517531107071,2,Marseille
-0.8626550678242491,0.351903280201517,3,Midtjylland
-0.4385812888979522,-0.3291890892565602,2,Olympiacos
0.052673685939685404,-0.0073517320292245175,0,Paris SG
-0.9246692959653093,0.29193043968636667,3,Porto
0.07893108364212506,0.01792589823878711,0,RB Leipzig
0.0126730278465977,0.6518650783845814,0,RB Salzburg
0.9384736447325249,-0.20389798356941014,4,Real Madrid
-0.21410970909692686,-0.03790622399342823,0,Rennes
0.6152420067716067,-0.13928042269733795,4,Sevilla
-0.4442949590687823,-0.5548852925922367,2,Shakhtar
-0.3933697827110965,-0.05447817692102487,2,Zenit
