,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
nl Ajax,21,25.4,56.3,6,66,540,6,1.17,0.83,1,0.17,0.17,1.83,0.17,1.17,0.83,2,1,1.83,1.43,1.3,1.05,2.37,1.43,1.06,2.49,1.31,2.36
it Atalanta,25,28.2,46.3,8,88,720,8,1.38,1.25,1.38,0,0,1.38,0.13,1.37,1.25,2.62,1.37,2.62,1.45,1.45,1.21,2.66,1.45,1.21,2.66,1.45,2.66
es Atlético Madrid,20,27.8,48.6,8,88,720,8,0.88,0.75,0.88,0,0,2.13,0.13,0.87,0.75,1.62,0.87,1.62,1.04,1.04,0.81,1.85,1.04,0.82,1.85,1.04,1.85
es Barcelona,27,26.8,62.8,8,88,720,8,2.25,1.5,1.5,0.75,0.88,1.5,0.13,2.25,1.5,3.75,1.5,3,2.45,1.77,1.49,3.26,2.45,1.48,3.93,1.78,3.26
tr Başakşehir,21,30.2,42.8,6,66,540,6,1.17,0.83,1.17,0,0,3,0,1.17,0.83,2,1.17,2,0.82,0.82,0.63,1.45,0.82,0.64,1.45,0.82,1.45
de Bayern Munich,26,27.7,59.8,10,110,900,10,2.5,1.8,2.2,0.3,0.3,2,0.1,2.5,1.8,4.3,2.2,4,1.97,1.74,1.25,2.99,1.97,1.25,3.21,1.74,2.99
eng Chelsea,24,26.8,55.5,10,110,900,10,1.9,1.2,1.4,0.5,0.6,1.5,0,1.9,1.2,3.1,1.4,2.6,1.67,1.21,1.05,2.27,1.67,1.05,2.72,1.21,2.27
be Club Brugge,22,26.5,50.2,6,66,540,6,1.33,0.67,1,0.33,0.33,1.67,0.17,1.33,0.67,2,1,1.67,1.3,1.05,0.73,1.78,1.31,0.74,2.04,1.05,1.79
de Dortmund,26,26.6,49.4,10,110,900,10,1.9,1.1,1.7,0.2,0.2,0.9,0,1.9,1.1,3,1.7,2.8,1.55,1.4,1.1,2.5,1.55,1.1,2.65,1.4,2.5
ua Dynamo Kyiv,22,25.1,42,6,66,540,6,0.67,0.17,0.5,0.17,0.17,1.5,0.17,0.67,0.17,0.83,0.5,0.67,0.95,0.82,0.52,1.33,0.94,0.51,1.46,0.82,1.34
hu Ferencváros,20,28.6,43.8,6,66,540,6,0.83,0.5,0.67,0.17,0.17,2.67,0,0.83,0.5,1.33,0.67,1.17,0.92,0.8,0.35,1.15,0.92,0.36,1.28,0.8,1.15
it Inter,21,29,50.2,6,66,540,6,1.17,1,1.17,0,0,3.67,0.17,1.17,1,2.17,1.17,2.17,1.42,1.42,0.8,2.22,1.42,0.8,2.21,1.42,2.21
it Juventus,22,28.3,55.1,8,88,750,8.3,2.05,1.69,1.81,0.24,0.24,2.65,0.12,2.04,1.68,3.72,1.8,3.48,1.78,1.6,1.23,2.83,1.78,1.22,3,1.6,2.81
ru Krasnodar,23,28.5,37.2,6,66,540,6,1,0.67,0.83,0.17,0.17,1.67,0,1,0.67,1.67,0.83,1.5,1.22,1.1,0.78,1.88,1.22,0.79,2.01,1.09,1.88
it Lazio,25,29.8,44.6,8,88,720,8,1.5,1,1.13,0.38,0.38,2.88,0,1.5,1,2.5,1.13,2.12,1.52,1.24,1.01,2.25,1.53,1.01,2.54,1.24,2.25
eng Liverpool,29,26.7,52.2,10,110,900,10,1.4,1,1.3,0.1,0.1,1.7,0,1.4,1,2.4,1.3,2.3,1.61,1.54,1.19,2.73,1.61,1.19,2.8,1.54,2.73
ru Loko Moscow,22,29.2,38.8,6,66,540,6,0.83,0.5,0.5,0.33,0.33,2,0,0.83,0.5,1.33,0.5,1,0.8,0.55,0.5,1.05,0.81,0.5,1.3,0.55,1.05
de M'Gladbach,21,27.7,41.5,8,88,720,8,1.88,1.13,1.63,0.25,0.25,1.5,0,1.87,1.13,3,1.62,2.75,1.24,1.05,0.79,1.84,1.24,0.79,2.03,1.05,1.84
eng Manchester City,25,26.7,62.2,10,110,900,10,2,1.6,1.8,0.2,0.2,1.2,0,2,1.6,3.6,1.8,3.4,1.87,1.73,1.27,3,1.87,1.27,3.14,1.73,3
eng Manchester Utd,23,26.5,51,6,66,540,6,2.33,1.17,1.67,0.67,0.67,2.17,0.17,2.33,1.17,3.5,1.67,2.83,1.9,1.4,1.07,2.45,1.9,1.06,2.96,1.39,2.45
fr Marseille,20,28.2,50.7,6,66,540,6,0.33,0,0,0.33,0.5,2.5,0.17,0.33,0,0.33,0,0,0.85,0.47,0.4,0.88,0.85,0.4,1.25,0.47,0.88
dk Midtjylland,22,26.3,42,6,66,540,6,0.67,0.33,0.33,0.33,0.33,2,0.17,0.67,0.33,1,0.33,0.67,1.07,0.82,0.7,1.5,1.07,0.69,1.76,0.82,1.51
gr Olympiacos,21,29.4,48.5,6,66,540,6,0.33,0.33,0.33,0,0,1.83,0.17,0.33,0.33,0.67,0.33,0.67,0.65,0.65,0.5,1.15,0.65,0.49,1.14,0.65,1.14
fr Paris S-G,23,28,48.4,10,110,900,10,2,1.5,1.7,0.3,0.4,2.5,0.2,2,1.5,3.5,1.7,3.2,1.9,1.61,1.28,2.89,1.9,1.28,3.18,1.61,2.89
pt Porto,26,27.7,39.6,10,110,930,10.3,1.46,0.58,1.07,0.39,0.39,2.23,0.19,1.45,0.58,2.03,1.06,1.65,1.07,0.78,0.5,1.28,1.06,0.51,1.57,0.77,1.28
de RB Leipzig,20,25.5,52.5,8,88,720,8,1.38,1.25,1.25,0.13,0.13,2.63,0,1.37,1.25,2.62,1.25,2.5,1.26,1.16,0.96,2.13,1.26,0.96,2.22,1.17,2.13
at RB Salzburg,19,25.6,49.2,6,66,540,6,1.5,1,1.5,0,0,1.83,0,1.5,1,2.5,1.5,2.5,1.88,1.88,1.33,3.22,1.89,1.33,3.22,1.89,3.22
es Real Madrid,25,28.5,57.6,10,110,900,10,1.7,1.2,1.5,0.2,0.2,1.5,0,1.7,1.2,2.9,1.5,2.7,1.7,1.55,1.17,2.71,1.7,1.17,2.87,1.55,2.71
fr Rennes,26,26.4,49.7,6,66,540,6,0.5,0.17,0.17,0.33,0.33,2.83,0.17,0.5,0.17,0.67,0.17,0.33,1.23,0.97,0.72,1.7,1.23,0.72,1.95,0.97,1.69
es Sevilla,25,28.6,60.6,8,88,720,8,1.63,1,1.5,0.13,0.13,2.5,0.13,1.62,1,2.62,1.5,2.5,1.39,1.29,0.86,2.15,1.38,0.86,2.25,1.29,2.15
ua Shakhtar,23,25.4,46.2,6,66,540,6,0.67,0.5,0.67,0,0,1.17,0,0.67,0.5,1.17,0.67,1.17,0.7,0.7,0.48,1.2,0.71,0.49,1.19,0.71,1.19
ru Zenit,21,28.5,45.7,6,66,540,6,0.5,0.5,0.5,0,0,2.17,0,0.5,0.5,1,0.5,1,0.73,0.73,0.65,1.38,0.74,0.65,1.39,0.74,1.39
