Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
nl Ajax,1,6,6,540,6,7,1.17,27,22,77.8,2,1,3,0,0,1,1,0,0,0
it Atalanta,2,8,8,720,8,12,1.5,35,25,71.4,3,2,3,3,37.5,2,2,0,0,0
es Atlético Madrid,1,8,8,720,8,11,1.37,23,14,60.9,2,3,3,2,25,2,2,0,0,0
es Barcelona,2,8,8,720,8,11,1.37,25,19,72,5,1,2,3,37.5,4,4,0,0,0
tr Başakşehir,1,6,6,540,6,18,3,35,19,54.3,1,0,5,0,0,2,2,0,0,0
de Bayern Munich,2,10,10,900,10,10,1,48,38,79.2,8,1,1,3,30,0,0,0,0,
eng Chelsea,2,11,11,990,11,4,0.36,29,25,86.2,7,3,1,7,63.6,0,0,0,0,
be Club Brugge,2,6,6,540,6,10,1.67,27,19,66.7,2,2,2,1,16.7,1,1,0,0,0
de Dortmund,2,10,10,900,10,13,1.3,38,29,73.7,5,2,3,3,30,3,3,0,0,0
ua Dynamo Kyiv,3,6,6,540,6,13,2.17,38,27,71.1,1,1,4,1,16.7,2,2,0,0,0
hu Ferencváros,1,6,6,540,6,17,2.83,33,20,57.6,0,1,5,0,0,3,3,0,0,0
it Inter,1,6,6,540,6,9,1.5,21,15,66.7,1,3,2,2,33.3,2,2,0,0,0
it Juventus,2,8,8,750,8.3,8,0.96,33,27,81.8,6,0,2,3,37.5,2,2,0,0,0
ru Krasnodar,2,6,6,540,6,11,1.83,40,31,80,1,2,3,1,16.7,4,3,0,1,0
it Lazio,2,8,8,720,8,13,1.62,33,23,66.7,2,4,2,0,0,2,2,0,0,0
eng Liverpool,3,10,10,900,10,6,0.6,35,30,85.7,6,2,2,7,70,1,1,0,0,0
ru Loko Moscow,1,6,6,540,6,11,1.83,33,23,66.7,0,3,3,1,16.7,0,0,0,0,
de M'Gladbach,1,8,8,720,8,13,1.62,35,21,62.9,2,2,4,2,25,0,0,0,0,
eng Manchester City,2,10,10,900,10,3,0.3,18,14,83.3,9,1,0,7,70,0,0,0,0,
eng Manchester Utd,2,6,6,540,6,10,1.67,23,14,56.5,3,0,3,1,16.7,0,0,0,0,
fr Marseille,1,6,6,540,6,13,2.17,26,16,57.7,1,0,5,0,0,2,2,0,0,0
dk Midtjylland,2,6,6,540,6,13,2.17,35,22,65.7,0,2,4,0,0,1,1,0,0,0
gr Olympiacos,1,6,6,540,6,10,1.67,31,24,77.4,1,0,5,1,16.7,3,3,0,0,0
fr Paris S-G,1,10,10,900,10,11,1.1,54,45,85.2,6,1,3,2,20,4,3,1,0,25
pt Porto,2,10,10,930,10.3,9,0.87,36,27,77.8,6,1,3,6,60,2,1,0,1,0
de RB Leipzig,1,8,8,720,8,16,2,33,21,60.6,4,0,4,1,12.5,4,3,1,0,25
at RB Salzburg,1,6,6,540,6,17,2.83,30,16,50,1,1,4,0,0,2,2,0,0,0
es Real Madrid,1,11,11,990,11,12,1.09,34,23,64.7,6,3,2,4,36.4,0,0,0,0,
fr Rennes,2,6,6,540,6,11,1.83,25,16,64,0,1,5,0,0,2,2,0,0,0
es Sevilla,3,8,8,720,8,13,1.62,30,21,70,4,2,2,2,25,5,4,1,0,20
ua Shakhtar,2,6,6,540,6,12,2,36,25,69.4,2,2,2,3,50,1,1,0,0,0
ru Zenit,1,6,6,540,6,13,2.17,26,16,61.5,0,1,5,0,0,3,3,0,0,0
