,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
nl Ajax,21,6,445.2,563.3,79,8747.2,3071.3,173.8,201.7,86.2,197.2,233.3,84.5,67.5,110.8,60.9,0.83,1.05,-0.22,7.67,26.8,7.67,2,39.3
it Atalanta,25,8,402.4,506.5,79.4,7449.8,2783.4,181,206.3,87.8,166.1,194.1,85.6,48.3,83.8,57.6,1.25,1.21,0.04,8.88,29.9,8.5,1.88,39.8
es Atlético Madrid,20,8,411.4,520.6,79,7671.5,2617,183.5,211.8,86.7,160.5,190,84.5,57.4,94.8,60.6,0.75,0.81,-0.06,7.88,31.6,11.3,2,41.3
es Barcelona,27,8,695.4,772.6,90,11589.9,3263.5,351.5,376,93.5,273.1,296.6,92.1,56.6,75,75.5,1.5,1.49,0.01,13.6,58.4,15,1.75,51.9
tr Başakşehir,21,6,361.5,464,77.9,7184.8,2338.8,143.5,165.3,86.8,155.7,180.8,86.1,56.2,99.7,56.4,0.83,0.63,0.2,8.17,20,6.33,1.67,26.8
de Bayern Munich,26,10,542.3,638.3,85,10607.3,3137.7,215.5,241,89.4,236.4,263.8,89.6,81.6,113,72.2,1.8,1.25,0.55,11.7,44.2,12.4,3.5,44.9
eng Chelsea,24,10,509.4,602.1,84.6,9451.9,2867.7,216.5,237.6,91.1,219.2,246.7,88.9,63,95.5,66,1.2,1.05,0.15,8.6,34,7.9,2,35.7
be Club Brugge,22,6,447.3,553,80.9,8929.5,2754.7,177.8,202.8,87.7,185.2,212.3,87.2,73.8,113.8,64.9,0.67,0.73,-0.07,6.33,33,8.33,1.17,36.3
de Dortmund,26,10,508.7,593.5,85.7,9567.5,2678.8,219.5,241.8,90.8,212.5,232.2,91.5,67.9,98.9,68.7,1.1,1.1,0,9.2,37.9,9.3,0.8,36.9
ua Dynamo Kyiv,22,6,404.5,490,82.6,8096.2,2301.3,151,171.7,88,184.2,209.7,87.8,64,94,68.1,0.17,0.52,-0.35,4.5,22.5,6.5,2.5,24.7
hu Ferencváros,20,6,432.7,521.3,83,8915.2,2601.8,146.5,167.7,87.4,207.3,230,90.1,72.2,109.2,66.1,0.5,0.35,0.15,6,23.5,5.67,1.17,26.5
it Inter,21,6,466.8,560.7,83.3,9350.7,2670.3,167.7,189.7,88.4,222,245.3,90.5,68.7,100.5,68.3,1,0.8,0.2,9.33,35.5,10.7,3.5,36.8
it Juventus,22,8.3,542.2,630.2,86,10555.5,3076.6,204.8,226.3,90.5,254,279.6,90.8,74.2,103.3,71.9,1.69,1.23,0.46,12.2,43.3,11.1,3.86,41.2
ru Krasnodar,23,6,298.5,402.3,74.2,5721.3,2262.2,128.7,152,84.6,117,146.2,80,45.8,86,53.3,0.67,0.78,-0.12,7.33,17.2,7.83,1.5,28.3
it Lazio,25,8,413.6,499.6,82.8,8078.6,2745.3,170,193.3,88,171.5,195.3,87.8,63.4,92.5,68.5,1,1.01,-0.01,8.5,26,7.25,2.25,30.1
eng Liverpool,29,10,475.7,584.2,81.4,9531.6,3170,181.4,205.6,88.2,212.8,240.9,88.3,75.3,120.7,62.4,1,1.19,-0.19,8.5,35.5,10.1,1.5,45.1
ru Loko Moscow,22,6,285.3,386.8,73.8,6011.3,2496.2,109.7,134,81.8,118.8,147,80.8,53.2,91.2,58.3,0.5,0.5,0,5,17.8,5,0.83,26.7
de M'Gladbach,21,8,407.9,493.1,82.7,7525.1,2277.8,174.1,191.6,90.9,178.9,201.4,88.8,48.3,82.8,58.3,1.13,0.79,0.34,7,18.5,6.5,0.88,24.6
eng Manchester City,25,10,663.7,748.3,88.7,12502.6,3209.7,275.3,297.4,92.6,296.1,320.7,92.3,84.9,111,76.5,1.6,1.27,0.33,10.1,50.4,12.6,1.2,46.3
eng Manchester Utd,23,6,441.3,535,82.5,8200.8,2729.8,194.5,219.7,88.5,184.5,209.8,87.9,53.2,83.7,63.5,1.17,1.07,0.1,10.5,36,9.33,1.83,36.7
fr Marseille,20,6,438,534,82,8205.2,2431.5,187.3,208.2,90,181.7,203.5,89.3,58.3,102.5,56.9,0,0.4,-0.4,6,22.8,3.83,1.33,23.8
dk Midtjylland,22,6,306.7,425.7,72,6466.2,2401.3,112,139.2,80.5,127.8,160.2,79.8,61.5,110.8,55.5,0.33,0.7,-0.37,6.83,20.8,5.83,1.5,26.5
gr Olympiacos,21,6,420.2,527.2,79.7,8184.7,2525.5,171.3,194.7,88,179.3,206,87.1,62.7,107,58.6,0.33,0.5,-0.17,5.33,20.8,4.33,1.5,24.5
fr Paris S-G,23,10,428.1,516.3,82.9,7702.8,2654.1,201.9,222,90.9,166,187.8,88.4,51,84.5,60.4,1.5,1.28,0.22,8.4,25,6.9,1,30.4
pt Porto,26,10.3,297.9,392.7,75.8,5912.1,2086.1,126,143.5,87.8,115,138.1,83.3,50.1,93.5,53.6,0.58,0.5,0.08,5.24,17,5.24,0.87,20.8
de RB Leipzig,20,8,438.8,554.3,79.2,8301,2776.4,187.9,215,87.4,182.1,217.6,83.7,60.4,99,61,1.25,0.96,0.29,10.3,27.4,10.8,2.38,36.1
at RB Salzburg,19,6,369,488.7,75.5,6991,2544.8,149.3,180,83,155,192,80.7,53.3,93.8,56.8,1,1.33,-0.33,11.3,33,10.3,1.67,44.7
es Real Madrid,25,10,597.5,688.3,86.8,11580.6,3138.2,247.2,269.6,91.7,253.2,276.3,91.6,86.8,120.1,72.3,1.2,1.17,0.03,11.6,47.6,10.7,2.8,38.1
fr Rennes,26,6,428,529.5,80.8,8723.2,2686.3,156.3,177,88.3,189.8,217.5,87.3,73.5,111.8,65.7,0.17,0.72,-0.55,8.83,31.5,7.67,2.5,28.2
es Sevilla,25,8,529.3,626.6,84.5,10600.1,2916.1,205.1,227.3,90.3,235.4,259.1,90.8,80.5,117.8,68.4,1,0.86,0.14,11.5,39.1,9,4.25,33.3
ua Shakhtar,23,6,429.8,508.8,84.5,8578.5,2331.5,156.2,171.7,91,199,218.8,90.9,65.5,100.8,65,0.5,0.48,0.02,5,18.8,3.17,0.67,19.8
ru Zenit,21,6,406.2,510.3,79.6,8127.8,2835.8,160.8,186,86.5,166.5,194.2,85.8,68.3,107.8,63.4,0.5,0.65,-0.15,7.33,28.5,7.5,2.5,31
