PercentTouchD3,PercentTouchM3,PercentTouchA3,G+A-PK,GA90,cluster,squad
0.357644991,0.468951377,0.237697715,1.83,1.17,3,Ajax
0.315991063,0.48340249,0.260932014,2.62,1.5,0,Atalanta
0.285624311,0.483545898,0.286254133,1.62,1.37,0,Atletico Madrid
0.2025069,0.493330267,0.364650414,3,1.37,2,Barcelona
0.364487602,0.457430206,0.240679729,2,3,3,Basaksehir
0.292878101,0.490797546,0.291277674,4,1,0,Bayern Munich
0.311484516,0.492570476,0.252048327,2.6,0.36,0,Chelsea
0.306350421,0.464728386,0.292272379,1.67,1.67,0,Club Brugge
0.301727831,0.487648151,0.278452092,2.8,1.3,0,Dortmund
0.419660679,0.453592814,0.194111776,0.67,2.17,1,DynamoKyiv
0.434155719,0.469080423,0.166292855,1.17,2.83,1,Ferencvaros
0.299984679,0.504366478,0.255400643,2.17,1.5,0,Inter
0.257260274,0.547260274,0.258493151,3.48,0.96,0,Juventus
0.356868026,0.460754136,0.234705656,1.5,1.83,3,Krasondar
0.384930385,0.463718264,0.222440622,2.12,1.62,3,Lazio
0.31391863,0.505067809,0.243825839,2.3,0.6,0,Liverpool
0.450593642,0.418039065,0.176560705,1,1.83,1,Loko Moscow
0.427849806,0.458663075,0.164000674,2.75,1.62,1,Monchen Gladbach
0.201616738,0.581074655,0.278649548,3.4,0.3,2,Manchester City
0.295517774,0.467078825,0.294435858,2.83,1.67,0,Manchester Utd
0.376770088,0.50230708,0.178679395,0,2.17,3,Marseille
0.366883721,0.464744186,0.233860465,0.67,2.17,3,Midtjylland
0.374779116,0.502008032,0.177188755,0.67,1.67,3,Olympiacos
0.38760537,0.463783953,0.204807993,3.2,1.1,3,Paris SG
0.39710768,0.448114129,0.207543483,1.65,0.87,3,Porto
0.331989247,0.487753883,0.243130227,2.5,2,0,RB Leipzig
0.297670683,0.486746988,0.26939759,2.5,2.83,0,RB Salzburg
0.269182548,0.522316951,0.270185557,2.7,1.09,0,Real Madrid
0.315998097,0.499920723,0.241794831,0.33,1.83,0,Rennes
0.281950292,0.509439087,0.268097243,2.5,1.62,0,Sevilla
0.421494271,0.469097951,0.166209456,1.17,2,1,Shakhtar
0.347607461,0.454176805,0.261151663,1,2.17,3,Zenit
